Title,imdb_id
Star Wars: Episode V - The Empire Strikes Back,tt0080684
Goodfellas,tt0099685
Spider-Man: No Way Home,tt10872600
The Lord of the Rings: The Two Towers,tt0167261
The Godfather,tt0068646
Phenomenon,tt0117333
Up in Smoke,tt0078446
Clueless,tt0112697
That Thing You Do!,tt0117887
The Rock,tt0117500
Man on the Moon,tt0125664
Rosencrantz & Guildenstern Are Dead,tt0100519
Eyes Wide Shut,tt0120663
X2: X-Men United,tt0290334
The Ice Storm,tt0119349
Witness,tt0090329
MASH,tt0066026
The Rocky Horror Picture Show,tt0073629
Gallipoli,tt0082432
Juno,tt0467406
Searching for Bobby Fischer,tt0108065
American Graffiti,tt0069704
Smoke,tt0114478
Gods and Monsters,tt0120684
Lone Star,tt0116905
Local Hero,tt0085859
Garden State,tt0333766
Trust,tt0103130
Elizabeth,tt0127536
Wallace & Gromit: The Curse of the Were-Rabbit,tt0312004
The English Patient,tt0116209
The Blues Brothers,tt0080455
The Big Sleep,tt0038355
The Lion in Winter,tt0063227
Harvey,tt0042546
"Aguirre, the Wrath of God",tt0068182
The Ten Commandments,tt0049833
Bohemian Rhapsody,tt1727824
True Romance,tt0108399
The Lost Weekend,tt0037884
Sullivan's Travels,tt0034240
Amarcord,tt0071129
A Night at the Opera,tt0026778
Nosferatu,tt0013442
His Girl Friday,tt0032599
Harold and Maude,tt0067185
Shaun of the Dead,tt0365748
The Wrestler,tt1125849
Mystic River,tt0327056
Children of Men,tt0206634
Brazil,tt0088846
Shrek,tt0126029
Toy Story 2,tt0120363
Beauty and the Beast (1946),tt0038348
This Is Spinal Tap,tt0088258
The Philadelphia Story,tt0032904
Boyhood,tt1065073
A Christmas Story,tt0085334
Crimes and Misdemeanors,tt0097123
Once Were Warriors,tt0110729
District 9,tt1136608
Arrival,tt2543164
Hero,tt0299977
Mulholland Drive,tt0166924
Three Colors: Blue,tt0108394
Letters from Iwo Jima,tt0498380
The Artist,tt1655442
In Cold Blood,tt0061809
Stagecoach,tt0031971
The Adventures of Robin Hood,tt0029843
The Wild Bunch,tt0065214
My Left Foot,tt0097937
Thor: Ragnarok,tt3501632
Star Trek,tt0796366
Let the Right One In,tt1139797
Talk to Her,tt0287467
Almost Famous,tt0181875
King Kong,tt0024216
The Manchurian Candidate,tt0056218
The Searchers,tt0049730
Before Midnight,tt2209418
Marriage Story,tt7653254
In Bruges,tt0780536
The Perks of Being a Wallflower,tt1659337
Dawn of the Dead,tt0077402
X-Men: Days of Future Past,tt1877832
In the Heat of the Night,tt0061811
The Untouchables,tt0094226
Life of Pi,tt0454876
Manhattan,tt0079522
Charade,tt0056923
Spartacus,tt0054331
All About My Mother,tt0185125
Bringing Up Baby,tt0029947
Patton,tt0066206
Ikiru,tt0044741
Come and See,tt0091251
The Wrong Trousers,tt0108598
Bicycle Thieves,tt0040522
Dersu Uzala,tt0071411
Drishyam (2013),tt3417422
M,tt0022100
The Kid,tt0012349
Vikram Vedha,tt6148156
Star Wars: Episode VI - Return of the Jedi,tt0086190
Requiem for a Dream,tt0180093
Braveheart,tt0112573
Koyaanisqatsi,tt0085809
Full Metal Jacket,tt0093058
Incendies,tt1255953
Aliens,tt0090605
2001: A Space Odyssey,tt0062622
American Beauty,tt0169547
The Father,tt10272386
Amadeus,tt0086879
Vertigo,tt0052357
Citizen Kane,tt0033467
Lawrence of Arabia,tt0056172
Scarface,tt0086250
Inglourious Basterds,tt0361748
Amélie,tt0211915
A Clockwork Orange,tt0066921
The Hunt,tt2106476
Children of Heaven,tt0118849
Eternal Sunshine of the Spotless Mind,tt0338013
Good Will Hunting,tt0119217
1917,tt8579674
Das Boot,tt0082096
The Apartment,tt0053604
Metropolis,tt0017136
North by Northwest,tt0053125
Once Upon a Time in America,tt0087843
Reservoir Dogs,tt0105236
The Sting,tt0070735
Toy Story,tt0114709
A Separation,tt1832382
Double Indemnity,tt0036775
Singin' in the Rain,tt0045152
The Lord of the Rings: The Fellowship of the Ring,tt0120737
Fight Club,tt0137523
Inception,tt1375666
Forrest Gump,tt0109830
"The Good, the Bad and the Ugly",tt0060196
Jai Bhim,tt15097216
The Shawshank Redemption,tt0111161
Ransom,tt0117438
Empire Records,tt0112950
Strange Brew,tt0086373
Romeo + Juliet,tt0117509
Emma,tt0116191
While You Were Sleeping,tt0114924
Somewhere in Time,tt0081534
